['Chingu_ok', 'EzypoIiorz', '1-0, Chingu_ok won by resignation', '2025.01.06', 'Vienna Game: Stanley Variation', None]
['EzypoIiorz', 'vijaysingh15', '1-0, EzypoIiorz won on time', '2025.01.07', 'Philidor Defense', None]
['moguries', 'EzypoIiorz', '1-0, moguries won by resignation', '2025.01.07', 'Four Knights Game', None]
['EzypoIiorz', 'hikari01224', '1-0, EzypoIiorz won by checkmate', '2025.01.07', 'Vienna Game', None]
['berkkan07', 'EzypoIiorz', '1-0, berkkan07 won by checkmate', '2025.01.07', 'Nimzo-Larsen Attack: Classical Variation', None]
['EzypoIiorz', 'harshoooit', '1-0, EzypoIiorz won by resignation', '2025.01.07', 'Vienna Game: Omaha Gambit', None]
['gabrielstahl', 'EzypoIiorz', '0-1, EzypoIiorz won by checkmate', '2025.01.07', "King's Gambit Declined: Queen's Knight Defense", None]
['EzypoIiorz', 'gabrielstahl', '1-0, EzypoIiorz won by checkmate', '2025.01.07', 'Four Knights Game: Spanish Variation, Rubinstein Variation', None]
['gabrielstahl', 'EzypoIiorz', '0-1, EzypoIiorz won on time', '2025.01.07', 'Bird Opening', None]
['Lalith4095', 'EzypoIiorz', '1-0, Lalith4095 won by resignation', '2025.01.07', 'Italian Game: Giuoco Pianissimo', None]
['EzypoIiorz', 'bouyahyi', '1-0, EzypoIiorz won on time', '2025.01.07', 'Four Knights Game: Scotch Variation', None]
['EzypoIiorz', 'Akankshasundi292725', '0-1, Akankshasundi292725 won by checkmate', '2025.01.07', 'Vienna Game: Falkbeer Variation', None]
['Thermoxx', 'EzypoIiorz', '0-1, EzypoIiorz won by checkmate', '2025.01.07', "King's Pawn Game: Wayward Queen Attack", None]
['EzypoIiorz', 'karnooshsama', '0-1, karnooshsama won on time', '2025.01.07', 'Nimzowitsch Defense: Scandinavian Variation', None]
['BigPink90', 'EzypoIiorz', '1-0, BigPink90 won by checkmate', '2025.01.08', "Petrov's Defense: Italian Variation", None]
